Username,Department,Enabled,LastLogon,PasswordNeverExpires,IsPrivileged,MFAEnabled
user000,Finance,TRUE,2026-06-27,TRUE,TRUE,FALSE
user001,Manufacturing,TRUE,2026-03-14,FALSE,FALSE,TRUE
user002,Emplas,FALSE,2026-07-07,FALSE,FALSE,TRUE
user003,Emplas,FALSE,2026-07-10,TRUE,FALSE,TRUE
user004,Glazerite Sales,TRUE,2025-12-24,FALSE,FALSE,TRUE
user005,Emplas,TRUE,2025-12-24,TRUE,FALSE,TRUE
user006,Manufacturing,FALSE,2026-03-14,FALSE,FALSE,TRUE
user007,HR,TRUE,2026-03-14,FALSE,FALSE,TRUE
user008,Emplas,TRUE,2025-06-07,FALSE,FALSE,TRUE
user009,IT,TRUE,2026-07-10,FALSE,FALSE,FALSE
user010,Glazerite Sales,FALSE,2026-07-11,FALSE,FALSE,FALSE
user011,Finance,FALSE,2026-06-02,FALSE,FALSE,TRUE
user012,Warehouse,TRUE,2026-07-02,FALSE,FALSE,TRUE
user013,Manufacturing,TRUE,2026-07-10,FALSE,TRUE,FALSE
user014,HR,TRUE,2026-04-08,TRUE,FALSE,TRUE
user015,Glazerite Sales,TRUE,2026-03-14,FALSE,FALSE,TRUE
user016,Emplas,TRUE,2026-04-08,FALSE,FALSE,TRUE
user017,Manufacturing,TRUE,2025-12-24,FALSE,FALSE,TRUE
user018,Warehouse,FALSE,2026-04-08,TRUE,FALSE,FALSE
user019,Finance,TRUE,2026-07-10,TRUE,FALSE,TRUE
user020,HR,FALSE,2026-07-02,FALSE,FALSE,FALSE
user021,Manufacturing,TRUE,2026-06-02,FALSE,FALSE,FALSE
user022,HR,TRUE,2026-06-27,FALSE,FALSE,TRUE
user023,Warehouse,TRUE,2026-07-11,FALSE,FALSE,TRUE
user024,Finance,FALSE,2026-07-07,TRUE,FALSE,TRUE
user025,Finance,TRUE,2026-07-09,FALSE,FALSE,TRUE
user026,Manufacturing,FALSE,2026-06-02,FALSE,TRUE,FALSE
user027,Glazerite Sales,TRUE,2025-06-07,TRUE,FALSE,TRUE
user028,Glazerite Sales,TRUE,2026-07-09,TRUE,FALSE,TRUE
user029,Glazerite Sales,TRUE,2026-04-08,FALSE,FALSE,FALSE
user030,Finance,TRUE,2026-07-11,FALSE,FALSE,TRUE
user031,Glazerite Sales,TRUE,2025-12-24,FALSE,FALSE,TRUE
user032,Finance,FALSE,2025-06-07,FALSE,FALSE,FALSE
user033,Finance,FALSE,2026-06-02,TRUE,FALSE,TRUE
user034,Glazerite Sales,FALSE,2026-07-07,FALSE,FALSE,TRUE
user035,HR,TRUE,2026-07-10,TRUE,FALSE,TRUE
user036,Glazerite Sales,TRUE,2026-07-11,FALSE,FALSE,FALSE
user037,Emplas,TRUE,2025-12-24,FALSE,FALSE,TRUE
user038,IT,TRUE,2026-06-02,FALSE,FALSE,TRUE
user039,Finance,TRUE,2025-12-24,TRUE,TRUE,TRUE
