DeviceName,Owner,ComplianceState,OSVersion,BitLockerEnabled,LastCheckIn
DEVICE-000,user009,Compliant,Windows 10 22H2,TRUE,2026-07-07
DEVICE-001,user007,Compliant,Windows 10 21H2,FALSE,2026-07-07
DEVICE-002,user030,Compliant,Windows 11 23H2,TRUE,2026-07-12
DEVICE-003,user021,Compliant,Windows 10 21H2,TRUE,2026-06-22
DEVICE-004,user001,Compliant,Windows 10 1909,TRUE,2026-07-11
DEVICE-005,user034,Compliant,Windows 10 1909,TRUE,2026-05-28
DEVICE-006,user005,Compliant,Windows 10 1909,TRUE,2026-07-11
DEVICE-007,user022,Compliant,Windows 10 1909,TRUE,2026-05-28
DEVICE-008,user014,Compliant,Windows 11 22H2,FALSE,2026-05-28
DEVICE-009,user014,Compliant,Windows 10 1909,FALSE,2026-07-10
DEVICE-010,user001,Compliant,Windows 10 22H2,FALSE,2026-07-10
DEVICE-011,user012,Compliant,Windows 10 21H2,TRUE,2026-07-10
DEVICE-012,user005,Compliant,Windows 11 23H2,TRUE,2026-07-07
DEVICE-013,user012,Compliant,Windows 11 22H2,FALSE,2026-06-22
DEVICE-014,user039,Compliant,Windows 10 21H2,TRUE,2026-04-13
DEVICE-015,user005,Compliant,Windows 10 21H2,TRUE,2026-07-07
DEVICE-016,user011,Noncompliant,Windows 10 22H2,TRUE,2026-04-13
DEVICE-017,user025,Noncompliant,Windows 10 21H2,TRUE,2026-05-28
DEVICE-018,user010,Compliant,Windows 11 22H2,TRUE,2026-07-11
DEVICE-019,user037,Noncompliant,Windows 11 22H2,FALSE,2026-05-28
DEVICE-020,user022,Compliant,Windows 10 1909,TRUE,2026-07-12
DEVICE-021,user000,Compliant,Windows 10 1909,TRUE,2026-07-07
DEVICE-022,user012,Compliant,Windows 11 23H2,TRUE,2026-07-11
DEVICE-023,user018,Compliant,Windows 10 1909,TRUE,2026-07-10
DEVICE-024,user034,Noncompliant,Windows 11 22H2,TRUE,2026-05-28
DEVICE-025,user022,Noncompliant,Windows 10 1909,FALSE,2026-04-13
DEVICE-026,user032,Compliant,Windows 10 1909,TRUE,2026-06-22
DEVICE-027,user032,Compliant,Windows 10 21H2,TRUE,2026-06-22
DEVICE-028,user000,Compliant,Windows 11 22H2,TRUE,2026-07-07
DEVICE-029,user039,Compliant,Windows 10 1909,TRUE,2026-07-10
DEVICE-030,user033,Noncompliant,Windows 11 23H2,TRUE,2026-07-11
DEVICE-031,user012,Compliant,Windows 11 23H2,TRUE,2026-06-22
DEVICE-032,user028,Compliant,Windows 11 23H2,FALSE,2026-07-10
DEVICE-033,user039,Compliant,Windows 10 22H2,FALSE,2026-06-22
DEVICE-034,user034,Noncompliant,Windows 10 1909,TRUE,2026-05-28
