DeviceName,MissingCriticalPatches,LastPatchScan
DEVICE-000,2,2026-06-12
DEVICE-001,1,2026-07-02
DEVICE-002,0,2026-07-02
DEVICE-003,0,2026-07-02
DEVICE-004,12,2026-07-09
DEVICE-005,0,2026-05-13
DEVICE-006,1,2026-07-02
DEVICE-007,0,2026-07-11
DEVICE-008,2,2026-07-12
DEVICE-009,0,2026-05-13
DEVICE-010,3,2026-07-11
DEVICE-011,2,2026-07-11
DEVICE-012,12,2026-07-11
DEVICE-013,0,2026-07-02
DEVICE-014,12,2026-07-11
DEVICE-015,1,2026-07-11
DEVICE-016,7,2026-06-12
DEVICE-017,7,2026-07-09
DEVICE-018,7,2026-07-11
DEVICE-019,3,2026-07-09
DEVICE-020,0,2026-05-13
DEVICE-021,3,2026-07-12
DEVICE-022,3,2026-06-12
DEVICE-023,12,2026-07-02
DEVICE-024,0,2026-07-02
DEVICE-025,3,2026-06-12
DEVICE-026,2,2026-06-12
DEVICE-027,0,2026-07-12
DEVICE-028,1,2026-07-12
DEVICE-029,0,2026-07-09
DEVICE-030,2,2026-07-12
DEVICE-031,0,2026-07-09
DEVICE-032,0,2026-07-02
DEVICE-033,2,2026-07-02
DEVICE-034,0,2026-06-12
